"Department","Department_Name","Division","Gender","Base_Salary","Overtime_Pay","Longevity_Pay","Grade"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$68,888.9515","$7,059.41","$0","15"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$56,884.1676","$0","$0","15"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$46,425.4721","$2,092.35","$0","10"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$69,101.6094","$5,227.31","$0","15"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$75,621","$11,131.12","$0","15"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$59,881.0043","$3,328.4","$0","15"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$46,638.1343","$0","$0","10"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$59,006.7205","$2,195.05","$0","15"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$68,326.2786","$15,420.99","$0","15"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$44,693.4084","$1,000.49","$0","10"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$43,600.4359","$4,196.09","$0","10"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$57,714.4705","$7,570.81","$0","15"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$49,948.065","$281.74","$0","15"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$55,968.2496","$2,535.85","$0","15"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$42,126.025","$3,154","$0","10"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$42,126.025","$1,182.87","$0","10"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$63,480.1621","$11,486.92","$0","15"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$42,277.68","$1,472.07","$0","10"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$42,277.68","$2,052.65","$0","10"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$52,080.82","$1,791.42","$0","15"
"ABS","Alcohol Beverage Services","ABS 85 Beer Loading","M","$66,572","$3,148.64","$582.55","12"
"ABS","Alcohol Beverage Services","ABS 85 Beer Loading","M","$69,442","$2,440.69","$2,547.59","13"
"ABS","Alcohol Beverage Services","ABS 85 Beer Loading","M","$86,103","$1,969.09","$0","N18"
"ABS","Alcohol Beverage Services","ABS 85 Beer Loading","M","$55,730.5307","$127.73","$0","13"
"ABS","Alcohol Beverage Services","ABS 85 Beer Loading","F","$76,668","$3,226.55","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Beer Loading","M","$54,582.5153","$8,382.14","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Beer Loading","M","$59,394.1592","$3,619.49","$0","13"
"ABS","Alcohol Beverage Services","ABS 85 Beer Loading","M","$56,662.7289","$12,204.96","$0","13"
"ABS","Alcohol Beverage Services","ABS 85 Beer Loading","M","$46,468.8889","$2,123.38","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Beer Loading","M","$49,825.9489","$4,502.32","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Beer Loading","M","$93,986.002","$25,509.32","$0","N20"
"ABS","Alcohol Beverage Services","ABS 85 Beer Loading","M","$46,468.6211","$11,466.39","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Beer Loading","M","$52,641.5788","$10,848.36","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Beer Loading","M","$52,641.5788","$5,098.25","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Beer Loading","M","$50,039.0312","$3,892.88","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Beer Loading","M","$51,569.8582","$2,546.11","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Beer Loading","M","$46,468.6263","$3,519.93","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Beer Loading","M","$49,826.3791","$3,714.56","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Beer Loading","M","$51,073.5768","$3,262.58","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Beer Loading","M","$46,468.6211","$632.65","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Beer Loading","M","$45,929.49","$6,845.84","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Beer Loading","M","$46,681.2841","$1,539.66","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Beer Loading","M","$45,254.34","$1,368.58","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Beer Loading","M","$46,862.73","$2,590.35","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Beer Loading","M","$43,724","$1,330","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Beer Warehouse Operations","M","$66,572","$5,008.34","$1,907.4","12"
"ABS","Alcohol Beverage Services","ABS 85 Beer Warehouse Operations","M","$69,442","$940.73","$5,490.04","13"
"ABS","Alcohol Beverage Services","ABS 85 Beer Warehouse Operations","M","$69,442","$558.68","$5,490.04","13"
"ABS","Alcohol Beverage Services","ABS 85 Beer Warehouse Operations","M","$69,442","$6,732.45","$5,490.01","13"
"ABS","Alcohol Beverage Services","ABS 85 Beer Warehouse Operations","M","$66,572","$7,000.21","$3,137.75","12"
"ABS","Alcohol Beverage Services","ABS 85 Beer Warehouse Operations","M","$58,571.1182","$350.88","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Beer Warehouse Operations","F","$56,922.265","$6,156.95","$0","13"
"ABS","Alcohol Beverage Services","ABS 85 Beer Warehouse Operations","M","$59,376.01","$2,171.54","$0","13"
"ABS","Alcohol Beverage Services","ABS 85 Beer Warehouse Operations","M","$58,877.7277","$5,992.54","$0","13"
"ABS","Alcohol Beverage Services","ABS 85 Beer Warehouse Operations","M","$58,877.7277","$518.79","$0","13"
"ABS","Alcohol Beverage Services","ABS 85 Beer Warehouse Operations","M","$59,003.2323","$802.16","$0","13"
"ABS","Alcohol Beverage Services","ABS 85 Beer Warehouse Operations","M","$59,003.2162","$505.68","$0","13"
"ABS","Alcohol Beverage Services","ABS 85 Beer Warehouse Operations","M","$59,591.7086","$1,688.45","$0","13"
"ABS","Alcohol Beverage Services","ABS 85 Beer Warehouse Operations","M","$69,805.575","$5,951.34","$0","N17"
"ABS","Alcohol Beverage Services","ABS 85 Beer Warehouse Operations","M","$52,918.8229","$5,780.52","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Beer Warehouse Operations","M","$64,829.58","$6,895.97","$0","N18"
"ABS","Alcohol Beverage Services","ABS 85 Beer Warehouse Operations","M","$48,575.6793","$240.87","$0","13"
"ABS","Alcohol Beverage Services","ABS 85 Licensure, Regulation and Education","F","$166,140.03","$0","$0","M2"
"ABS","Alcohol Beverage Services","ABS 85 Licensure, Regulation and Education","M","$85,714.4272","$0","$0","22"
"ABS","Alcohol Beverage Services","ABS 85 Licensure, Regulation and Education","F","$99,335.0745","$1,540.34","$0","22"
"ABS","Alcohol Beverage Services","ABS 85 Licensure, Regulation and Education","F","$94,334.247","$0","$0","N25"
"ABS","Alcohol Beverage Services","ABS 85 Licensure, Regulation and Education","M","$65,480.48","$377.81","$0","22"
"ABS","Alcohol Beverage Services","ABS 85 Licensure, Regulation and Education","M","$117,424","$0","$0","N25"
"ABS","Alcohol Beverage Services","ABS 85 Licensure, Regulation and Education","M","$75,500","$0","$0","18"
"ABS","Alcohol Beverage Services","ABS 85 Licensure, Regulation and Education","M","$77,452.155","$0","$0","18"
"ABS","Alcohol Beverage Services","ABS 85 Licensure, Regulation and Education","F","$98,349","$0","$0","22"
"ABS","Alcohol Beverage Services","ABS 85 Licensure, Regulation and Education","F","$64,633","$0","$0","16"
"ABS","Alcohol Beverage Services","ABS 85 Licensure, Regulation and Education","F","$54,583","$0","$0","18"
"ABS","Alcohol Beverage Services","ABS 85 Liquor and Wine Delivery Operations","M","$61,240","$6,686.59","$987.51","10"
"ABS","Alcohol Beverage Services","ABS 85 Liquor and Wine Delivery Operations","M","$61,240","$1,211.31","$0","10"
"ABS","Alcohol Beverage Services","ABS 85 Liquor and Wine Delivery Operations","M","$61,240","$6,048.36","$0","10"
"ABS","Alcohol Beverage Services","ABS 85 Liquor and Wine Delivery Operations","M","$82,146.3286","$18,658.36","$0","N18"
"ABS","Alcohol Beverage Services","ABS 85 Liquor and Wine Delivery Operations","M","$75,621","$285.84","$3,569.81","15"
"ABS","Alcohol Beverage Services","ABS 85 Liquor and Wine Delivery Operations","M","$75,621.0032","$7,168.3","$3,572.82","15"
"ABS","Alcohol Beverage Services","ABS 85 Liquor and Wine Delivery Operations","M","$75,621","$1,554.96","$3,572.57","15"
"ABS","Alcohol Beverage Services","ABS 85 Wholesale Operations","M","$98,228","$0","$0","21"
"ABS","Alcohol Beverage Services","ABS 85 Beer Warehouse Operations","M","$55,148","$1,472.55","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Beer Warehouse Operations","M","$49,230","$2,655.45","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Beer Warehouse Operations","M","$87,927","$0","$0","N20"
"ABS","Alcohol Beverage Services","ABS 85 Burtonsville","M","$72,463","$1,182.12","$5,733.72","14"
"ABS","Alcohol Beverage Services","ABS 85 Burtonsville","M","$70,452.4518","$0","$0","N18"
"ABS","Alcohol Beverage Services","ABS 85 Burtonsville","F","$47,447.9101","$1,302.22","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Burtonsville","F","$58,239.9985","$536.86","$0","14"
"ABS","Alcohol Beverage Services","ABS 85 Burtonsville","M","$24,047.6555","$6.3","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Burtonsville","M","$94,202.595","$230.05","$0","N21"
"ABS","Alcohol Beverage Services","ABS 85 Burtonsville","M","$22,627.17","$932.95","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Burtonsville","M","$21,862","$37.55","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Cabin John","M","$98,228","$0","$0","N21"
"ABS","Alcohol Beverage Services","ABS 85 Cabin John","M","$72,463","$137.53","$3,420.64","14"
"ABS","Alcohol Beverage Services","ABS 85 Cabin John","M","$66,846.7361","$10.71","$0","14"
"ABS","Alcohol Beverage Services","ABS 85 Cabin John","M","$70,660.89","$0","$0","N18"
"ABS","Alcohol Beverage Services","ABS 85 Cabin John","F","$45,974.7155","$1,141.78","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Cabin John","F","$44,754.6895","$697.57","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Cabin John","M","$24,779.5625","$226.32","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Cabin John","M","$21,862","$863.98","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Clarksburg Village","M","$96,329.8444","$1,034.41","$0","N21"
"ABS","Alcohol Beverage Services","ABS 85 Clarksburg Village","F","$85,408.7344","$2,287.24","$0","N18"
"ABS","Alcohol Beverage Services","ABS 85 Clarksburg Village","F","$60,695.9736","$368.05","$0","14"
"ABS","Alcohol Beverage Services","ABS 85 Clarksburg Village","M","$24,779.2732","$314.28","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Clarksburg Village","F","$22,627.17","$23.52","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Clarksburg Village","F","$21,862","$77.33","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Cloverly","M","$72,463","$142.59","$724.64","14"
"ABS","Alcohol Beverage Services","ABS 85 Cloverly","M","$84,810.2485","$1,422.37","$0","N21"
"ABS","Alcohol Beverage Services","ABS 85 Cloverly","M","$71,207.1769","$391.52","$0","14"
"ABS","Alcohol Beverage Services","ABS 85 Cloverly","M","$68,130","$88.62","$0","14"
"ABS","Alcohol Beverage Services","ABS 85 Cloverly","M","$47,447.9116","$28.67","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Cloverly","M","$45,974.7155","$1,006.4","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Cloverly","F","$27,031.164","$154.9","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Cloverly","M","$21,862","$125.44","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Darnestown","M","$72,463","$509.8","$1,177.55","14"
"ABS","Alcohol Beverage Services","ABS 85 Darnestown","M","$90,375.0561","$0","$0","N21"
"ABS","Alcohol Beverage Services","ABS 85 Darnestown","M","$72,463","$533.47","$0","14"
"ABS","Alcohol Beverage Services","ABS 85 Darnestown","M","$45,974.7317","$102.8","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Darnestown","F","$45,974.7155","$180.84","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Darnestown","F","$62,781.9443","$1,056.16","$0","14"
"ABS","Alcohol Beverage Services","ABS 85 Darnestown","F","$68,473.5124","$0","$0","N18"
"ABS","Alcohol Beverage Services","ABS 85 Darnestown","F","$21,862","$0","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Director","F","$236,000","$0","$0","EX1"
"ABS","Alcohol Beverage Services","ABS 85 Fallsgrove","F","$48,889.6586","$831.9","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Director's Office","M","$82,784.3253","$496.18","$0","18"
"ABS","Alcohol Beverage Services","ABS 85 Director's Office","F","$133,087.1035","$717.7","$0","N28"
"ABS","Alcohol Beverage Services","ABS 85 Director's Office","F","$82,780.3811","$436.44","$0","18"
"ABS","Alcohol Beverage Services","ABS 85 Director's Office","M","$86,103","$32.94","$6,836.38","18"
"ABS","Alcohol Beverage Services","ABS 85 Director's Office","F","$134,500","$0","$5,747.8","N28"
"ABS","Alcohol Beverage Services","ABS 85 Director's Office","F","$85,209.83","$241.8","$0","N21"
"ABS","Alcohol Beverage Services","ABS 85 Director's Office","F","$86,103","$471.76","$0","18"
"ABS","Alcohol Beverage Services","ABS 85 Director's Office","M","$40,625.8","$0","$0","N16"
"ABS","Alcohol Beverage Services","ABS 85 Downtown Rockville","M","$72,463","$361.58","$3,420.79","14"
"ABS","Alcohol Beverage Services","ABS 85 Downtown Rockville","M","$53,257.6","$311.09","$578.05","12"
"ABS","Alcohol Beverage Services","ABS 85 Downtown Rockville","M","$72,463","$24.33","$1,006.37","14"
"ABS","Alcohol Beverage Services","ABS 85 Downtown Rockville","F","$87,532.4427","$2,319.31","$0","N21"
"ABS","Alcohol Beverage Services","ABS 85 Downtown Rockville","M","$62,607.646","$1,290.64","$0","14"
"ABS","Alcohol Beverage Services","ABS 85 Downtown Rockville","M","$43,419.9874","$508.38","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Downtown Rockville","F","$57,701.6433","$1,427.09","$0","N18"
"ABS","Alcohol Beverage Services","ABS 85 Downtown Rockville","M","$22,627.17","$8,167.94","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Downtown Rockville","M","$21,862","$0","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Downtown Rockville","M","$21,862","$70.32","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Fallsgrove","F","$72,463.0002","$801.89","$2,204.91","14"
"ABS","Alcohol Beverage Services","ABS 85 Fallsgrove","F","$33,286","$550.27","$1,479.28","12"
"ABS","Alcohol Beverage Services","ABS 85 Fallsgrove","F","$68,435.09","$1,103.48","$0","N18"
"ABS","Alcohol Beverage Services","ABS 85 Fallsgrove","M","$62,820.3373","$1,249.39","$0","14"
"ABS","Alcohol Beverage Services","ABS 85 Fallsgrove","M","$21,862","$473.56","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Fallsgrove","M","$91,811.02","$263.52","$0","N21"
"ABS","Alcohol Beverage Services","ABS 85 Flower Avenue","M","$80,239.2046","$0","$0","N21"
"ABS","Alcohol Beverage Services","ABS 85 Flower Avenue","F","$72,463","$183.44","$3,420.8","14"
"ABS","Alcohol Beverage Services","ABS 85 Flower Avenue","M","$78,883.0226","$131.98","$0","N18"
"ABS","Alcohol Beverage Services","ABS 85 Flower Avenue","M","$46,144.8795","$9,562.78","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Flower Avenue","M","$46,144.8787","$3,653.65","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Flower Avenue","F","$22,627.17","$56.95","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Flower Avenue","F","$98,228","$0","$0","N21"
"ABS","Alcohol Beverage Services","ABS 85 Flower Avenue","M","$21,862","$268.41","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Gaithersburg Square","M","$82,733.0916","$962.71","$0","N18"
"ABS","Alcohol Beverage Services","ABS 85 Gaithersburg Square","F","$62,820.332","$993.74","$0","14"
"ABS","Alcohol Beverage Services","ABS 85 Gaithersburg Square","M","$72,559.2339","$456.28","$0","N21"
"ABS","Alcohol Beverage Services","ABS 85 Gaithersburg Square","M","$47,082.115","$267.56","$0","14"
"ABS","Alcohol Beverage Services","ABS 85 Gaithersburg Square","M","$52,456.0563","$2,287.77","$0","14"
"ABS","Alcohol Beverage Services","ABS 85 Gaithersburg Square","M","$24,047.6555","$486.46","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Gaithersburg Square","M","$21,864.1","$74.37","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Gaithersburg Square","F","$21,862","$0","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Gaithersburg Square","M","$21,862","$0","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Goshen Crossing","M","$53,257.6","$113.26","$4,332.4","12"
"ABS","Alcohol Beverage Services","ABS 85 Goshen Crossing","M","$66,083.4184","$3,066.55","$0","14"
"ABS","Alcohol Beverage Services","ABS 85 Goshen Crossing","M","$75,233.4096","$0","$0","N18"
"ABS","Alcohol Beverage Services","ABS 85 Goshen Crossing","M","$63,215.25","$5,331.03","$0","14"
"ABS","Alcohol Beverage Services","ABS 85 Goshen Crossing","M","$45,974.7317","$3,165.35","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Goshen Crossing","F","$60,908.636","$5,422.71","$0","14"
"ABS","Alcohol Beverage Services","ABS 85 Goshen Crossing","M","$22,551.3425","$2.85","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Goshen Crossing","M","$19,695.5","$0","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Goshen Crossing","M","$19,695.5","$0","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Goshen Crossing","M","$92,459.655","$1,280.88","$0","N21"
"ABS","Alcohol Beverage Services","ABS 85 Goshen Crossing","F","$21,862","$0","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Hampden Lane","M","$98,228","$0","$0","N21"
"ABS","Alcohol Beverage Services","ABS 85 Hampden Lane","M","$86,103.0015","$583.86","$3,665.73","N18"
"ABS","Alcohol Beverage Services","ABS 85 Hampden Lane","M","$64,631.0773","$1,800.35","$0","14"
"ABS","Alcohol Beverage Services","ABS 85 Hampden Lane","F","$65,240.88","$382.3","$0","14"
"ABS","Alcohol Beverage Services","ABS 85 Hampden Lane","M","$43,981.5101","$0","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Hampden Lane","F","$44,584.4143","$710.12","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Hampden Lane","M","$22,551.3425","$223","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Hampden Lane","M","$21,862","$0","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Hampden Lane","M","$21,862","$5.68","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Hampden Lane","M","$21,862","$109.14","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 IT Administration","M","$152,940","$0","$0","M3"
"ABS","Alcohol Beverage Services","ABS 85 IT Administration","F","$122,842","$0","$5,840.66","26"
"ABS","Alcohol Beverage Services","ABS 85 IT Administration","M","$89,948","$5,882.75","$4,570.73","19"
"ABS","Alcohol Beverage Services","ABS 85 IT Administration","M","$119,572","$0","$0","N26"
"ABS","Alcohol Beverage Services","ABS 85 IT Administration","F","$130,167","$0","$0","N28"
"ABS","Alcohol Beverage Services","ABS 85 IT Administration","F","$110,150.27","$0","$0","26"
"ABS","Alcohol Beverage Services","ABS 85 IT Administration","M","$133,713","$14,078.74","$0","N28"
"ABS","Alcohol Beverage Services","ABS 85 Kensington","F","$77,646.3409","$81.16","$0","N18"
"ABS","Alcohol Beverage Services","ABS 85 Kensington","M","$95,579.4474","$840.32","$0","N21"
"ABS","Alcohol Beverage Services","ABS 85 Kensington","M","$24,047.5114","$311.45","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Kensington","F","$62,607.6301","$865.22","$0","14"
"ABS","Alcohol Beverage Services","ABS 85 Kensington","M","$41,943.15","$359.06","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Kensington","M","$57,276.881","$156.41","$0","14"
"ABS","Alcohol Beverage Services","ABS 85 Kensington","M","$23,340.6395","$58.08","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Kensington","M","$23,340.6395","$178.75","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Kensington","M","$21,862","$69.72","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 King Farm","M","$98,228","$244.39","$0","N21"
"ABS","Alcohol Beverage Services","ABS 85 King Farm","M","$53,257.6","$469.12","$4,607.03","12"
"ABS","Alcohol Beverage Services","ABS 85 King Farm","M","$66,690.4462","$182.37","$0","14"
"ABS","Alcohol Beverage Services","ABS 85 King Farm","M","$43,249.8667","$456.4","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 King Farm","M","$24,047.9327","$2.13","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 King Farm","M","$53,214.6496","$1,094.83","$0","14"
"ABS","Alcohol Beverage Services","ABS 85 Kingsview","M","$98,228","$0","$4,186.89","N21"
"ABS","Alcohol Beverage Services","ABS 85 Kingsview","F","$86,103","$0","$0","N18"
"ABS","Alcohol Beverage Services","ABS 85 Kingsview","M","$72,463","$308.82","$1,396.88","14"
