Report_Year,Year,Item,Vehicle_Type,Data
2023,2022,No._Vehicles_Registered,Light Duty Vehicles Short Wheelbase,196467427
2023,2022,No._Vehicles_Registered,Motorcycles,9186256
2023,2022,No._Vehicles_Registered,Buses,958055
2023,2022,No._Vehicles_Registered,Light Duty Vehicles Long Wheelbase,61273790
2023,2022,No._Vehicles_Registered,Single Unit Trucks,11049522
2023,2022,No._Vehicles_Registered,Combination Trucks,3239716
2023,2022,No._Vehicles_Registered,All Light Duty Vehicles,257741217
2023,2022,No._Vehicles_Registered,Single Unit and Combination Trucks,14289238
2023,2023,Avg._Miles_per_Vehicle,Light Duty Vehicles Short Wheelbase,11026
2023,2023,Avg._Miles_per_Vehicle,Motorcycles,2121
2023,2023,Avg._Miles_per_Vehicle,Buses,18295
2023,2023,Avg._Miles_per_Vehicle,Light Duty Vehicles Long Wheelbase,11360
2023,2023,Avg._Miles_per_Vehicle,Single Unit Trucks,11593
2023,2023,Avg._Miles_per_Vehicle,Combination Trucks,58890
2023,2023,Avg._Miles_per_Vehicle,All Light Duty Vehicles,11106
2023,2023,Avg._Miles_per_Vehicle,Single Unit and Combination Trucks,22151
2023,2022,Avg._Miles_per_Vehicle,Light Duty Vehicles Short Wheelbase,10881
2023,2022,Avg._Miles_per_Vehicle,Motorcycles,2587
2023,2022,Avg._Miles_per_Vehicle,Buses,19300
2023,2022,Avg._Miles_per_Vehicle,Light Duty Vehicles Long Wheelbase,11177
2023,2022,Avg._Miles_per_Vehicle,Single Unit Trucks,12328
2023,2022,Avg._Miles_per_Vehicle,Combination Trucks,60205
2023,2022,Avg._Miles_per_Vehicle,All Light Duty Vehicles,10952
2023,2022,Avg._Miles_per_Vehicle,Single Unit and Combination Trucks,23183
2023,2023,Person-Miles,Light Duty Vehicles Short Wheelbase,3337838596590
2023,2023,Person-Miles,Motorcycles,20694693803
2023,2023,Person-Miles,Buses,375256756540
2023,2023,Person-Miles,Light Duty Vehicles Long Wheelbase,1040166403000
2023,2023,Person-Miles,Single Unit Trucks,134100608119
2023,2023,Person-Miles,Combination Trucks,195757795420
2023,2023,Person-Miles,All Light Duty Vehicles,4378004999590
2023,2023,Person-Miles,Single Unit and Combination Trucks,329858403539
2023,2022,Person-Miles,Light Duty Vehicles Short Wheelbase,3284668705927
2023,2022,Person-Miles,Motorcycles,24369327209
2023,2022,Person-Miles,Buses,391991486186
2023,2022,Person-Miles,Light Duty Vehicles Long Wheelbase,1007240093370
2023,2022,Person-Miles,Single Unit Trucks,136223786866
2023,2022,Person-Miles,Combination Trucks,195048639383
2023,2022,Person-Miles,All Light Duty Vehicles,4291908799297
2023,2022,Person-Miles,Single Unit and Combination Trucks,331272426248
2023,2023,Fuel_Consumed,Light Duty Vehicles Short Wheelbase,88145178837
2023,2023,Fuel_Consumed,Motorcycles,459065235
2023,2023,Fuel_Consumed,Buses,2396495462
2023,2023,Fuel_Consumed,Light Duty Vehicles Long Wheelbase,39334720494
2023,2023,Fuel_Consumed,Single Unit Trucks,17162839167
2023,2023,Fuel_Consumed,Combination Trucks,29296988806
2023,2023,Fuel_Consumed,All Light Duty Vehicles,127479899331
2023,2023,Fuel_Consumed,Single Unit and Combination Trucks,46459827972
2023,2022,Fuel_Consumed,Light Duty Vehicles Short Wheelbase,86040199188
2023,2022,Fuel_Consumed,Motorcycles,540571966
2023,2022,Fuel_Consumed,Buses,2497604755
2023,2022,Fuel_Consumed,Light Duty Vehicles Long Wheelbase,37939062886
2023,2022,Fuel_Consumed,Single Unit Trucks,17180849601
2023,2022,Fuel_Consumed,Combination Trucks,28218174604
2023,2022,Fuel_Consumed,All Light Duty Vehicles,123979262074
2023,2022,Fuel_Consumed,Single Unit and Combination Trucks,45399024205
2023,2023,Avg._Fuel_per_Vehicle,Light Duty Vehicles Short Wheelbase,447
2023,2023,Avg._Fuel_per_Vehicle,Motorcycles,48
2023,2023,Avg._Fuel_per_Vehicle,Buses,2477
2023,2023,Avg._Fuel_per_Vehicle,Light Duty Vehicles Long Wheelbase,633
2023,2023,Avg._Fuel_per_Vehicle,Single Unit Trucks,1484
2023,2023,Avg._Fuel_per_Vehicle,Combination Trucks,8813
2023,2023,Avg._Fuel_per_Vehicle,All Light Duty Vehicles,492
2023,2023,Avg._Fuel_per_Vehicle,Single Unit and Combination Trucks,3120
2023,2022,Avg._Fuel_per_Vehicle,Light Duty Vehicles Short Wheelbase,438
2023,2022,Avg._Fuel_per_Vehicle,Motorcycles,59
2023,2022,Avg._Fuel_per_Vehicle,Buses,2607
2023,2022,Avg._Fuel_per_Vehicle,Light Duty Vehicles Long Wheelbase,619
2023,2022,Avg._Fuel_per_Vehicle,Single Unit Trucks,1555
2023,2022,Avg._Fuel_per_Vehicle,Combination Trucks,8710
2023,2022,Avg._Fuel_per_Vehicle,All Light Duty Vehicles,481
2023,2022,Avg._Fuel_per_Vehicle,Single Unit and Combination Trucks,3177
2023,2023,Avg._Miles_Traveled_per_Gallon,Light Duty Vehicles Short Wheelbase,25
2023,2023,Avg._Miles_Traveled_per_Gallon,Motorcycles,44
2023,2023,Avg._Miles_Traveled_per_Gallon,Buses,7
2023,2023,Avg._Miles_Traveled_per_Gallon,Light Duty Vehicles Long Wheelbase,18
2023,2023,Avg._Miles_Traveled_per_Gallon,Single Unit Trucks,8
2023,2023,Avg._Miles_Traveled_per_Gallon,Combination Trucks,7
2023,2023,Avg._Miles_Traveled_per_Gallon,All Light Duty Vehicles,23
2023,2023,Avg._Miles_Traveled_per_Gallon,Single Unit and Combination Trucks,7
2023,2022,Avg._Miles_Traveled_per_Gallon,Light Duty Vehicles Short Wheelbase,25
2023,2022,Avg._Miles_Traveled_per_Gallon,Motorcycles,44
2023,2022,Avg._Miles_Traveled_per_Gallon,Buses,7
2023,2022,Avg._Miles_Traveled_per_Gallon,Light Duty Vehicles Long Wheelbase,18
2023,2022,Avg._Miles_Traveled_per_Gallon,Single Unit Trucks,8
2023,2022,Avg._Miles_Traveled_per_Gallon,Combination Trucks,7
2023,2022,Avg._Miles_Traveled_per_Gallon,All Light Duty Vehicles,23
2023,2022,Avg._Miles_Traveled_per_Gallon,Single Unit and Combination Trucks,7
2022,2022,Interstate_Rural_VMT,Light Duty Vehicles Short Wheelbase,148757069100
2022,2022,Interstate_Rural_VMT,Motorcycles,1163708185
2022,2022,Interstate_Rural_VMT,Buses,1601066542
2022,2022,Interstate_Rural_VMT,Light Duty Vehicles Long Wheelbase,50142686755
2022,2022,Interstate_Rural_VMT,Single Unit Trucks,11676658205
2022,2022,Interstate_Rural_VMT,Combination Trucks,61651784433
2022,2022,Interstate_Rural_VMT,All Light Duty Vehicles,198899755855
2022,2022,Interstate_Rural_VMT,Single Unit and Combination Trucks,73328442638
2022,2021,Interstate_Rural_VMT,Light Duty Vehicles Short Wheelbase,140582751650
2022,2021,Interstate_Rural_VMT,Motorcycles,1081577556
2022,2021,Interstate_Rural_VMT,Buses,1539485137
2022,2021,Interstate_Rural_VMT,Light Duty Vehicles Long Wheelbase,50523296585
2022,2021,Interstate_Rural_VMT,Single Unit Trucks,11388642473
2022,2021,Interstate_Rural_VMT,Combination Trucks,58574928000
2022,2021,Interstate_Rural_VMT,All Light Duty Vehicles,191106048234
2022,2021,Interstate_Rural_VMT,Single Unit and Combination Trucks,69963570473
2022,2022,Other_Arterial_Rural_VMT,Light Duty Vehicles Short Wheelbase,229876839977
2022,2022,Other_Arterial_Rural_VMT,Motorcycles,2233247251
2022,2022,Other_Arterial_Rural_VMT,Buses,2230721507
2022,2022,Other_Arterial_Rural_VMT,Light Duty Vehicles Long Wheelbase,99865022729
2022,2022,Other_Arterial_Rural_VMT,Single Unit Trucks,19331706718
2022,2022,Other_Arterial_Rural_VMT,Combination Trucks,33363892658
2022,2022,Other_Arterial_Rural_VMT,All Light Duty Vehicles,329741862706
2022,2022,Other_Arterial_Rural_VMT,Single Unit and Combination Trucks,52695599376
2022,2021,Other_Arterial_Rural_VMT,Light Duty Vehicles Short Wheelbase,227383133520
2022,2021,Other_Arterial_Rural_VMT,Motorcycles,2127326069
2022,2021,Other_Arterial_Rural_VMT,Buses,2193652013
2022,2021,Other_Arterial_Rural_VMT,Light Duty Vehicles Long Wheelbase,100463473892
2022,2021,Other_Arterial_Rural_VMT,Single Unit Trucks,19380748845
2022,2021,Other_Arterial_Rural_VMT,Combination Trucks,32859610871
2022,2021,Other_Arterial_Rural_VMT,All Light Duty Vehicles,327846607412
2022,2021,Other_Arterial_Rural_VMT,Single Unit and Combination Trucks,52240359716
2022,2022,Other_Rural_VMT,Light Duty Vehicles Short Wheelbase,221525593484
2022,2022,Other_Rural_VMT,Motorcycles,3294357222
2022,2022,Other_Rural_VMT,Buses,2293304009
2022,2022,Other_Rural_VMT,Light Duty Vehicles Long Wheelbase,103706506294
2022,2022,Other_Rural_VMT,Single Unit Trucks,19890209103
2022,2022,Other_Rural_VMT,Combination Trucks,13106383799
2022,2022,Other_Rural_VMT,All Light Duty Vehicles,325232099778
2022,2022,Other_Rural_VMT,Single Unit and Combination Trucks,32996592902
2022,2021,Other_Rural_VMT,Light Duty Vehicles Short Wheelbase,203372562214
2022,2021,Other_Rural_VMT,Motorcycles,2967360672
2022,2021,Other_Rural_VMT,Buses,2013351631
2022,2021,Other_Rural_VMT,Light Duty Vehicles Long Wheelbase,97512739255
2022,2021,Other_Rural_VMT,Single Unit Trucks,17895149022
2022,2021,Other_Rural_VMT,Combination Trucks,12421266917
2022,2021,Other_Rural_VMT,All Light Duty Vehicles,300885301469
2022,2021,Other_Rural_VMT,Single Unit and Combination Trucks,30316415939
2022,2022,All_Rural_VMT,Light Duty Vehicles Short Wheelbase,600159502561
2022,2022,All_Rural_VMT,Motorcycles,6691312658
2022,2022,All_Rural_VMT,Buses,6125092057
2022,2022,All_Rural_VMT,Light Duty Vehicles Long Wheelbase,253714215778
2022,2022,All_Rural_VMT,Single Unit Trucks,50898574025
2022,2022,All_Rural_VMT,Combination Trucks,108122060890
2022,2022,All_Rural_VMT,All Light Duty Vehicles,853873718338
2022,2022,All_Rural_VMT,Single Unit and Combination Trucks,159020634916
2022,2021,All_Rural_VMT,Light Duty Vehicles Short Wheelbase,571338447383
2022,2021,All_Rural_VMT,Motorcycles,6176264297
2022,2021,All_Rural_VMT,Buses,5746488781
2022,2021,All_Rural_VMT,Light Duty Vehicles Long Wheelbase,248499509732
2022,2021,All_Rural_VMT,Single Unit Trucks,48664540340
2022,2021,All_Rural_VMT,Combination Trucks,103855805787
2022,2021,All_Rural_VMT,All Light Duty Vehicles,819837957115
2022,2021,All_Rural_VMT,Single Unit and Combination Trucks,152520346128
2022,2022,Interstate_Urban_VMT,Light Duty Vehicles Short Wheelbase,378935440760
2022,2022,Interstate_Urban_VMT,Motorcycles,2841618431
2022,2022,Interstate_Urban_VMT,Buses,2623605807
2022,2022,Interstate_Urban_VMT,Light Duty Vehicles Long Wheelbase,104685754274
2022,2022,Interstate_Urban_VMT,Single Unit Trucks,20397309947
2022,2022,Interstate_Urban_VMT,Combination Trucks,49710248291
2022,2022,Interstate_Urban_VMT,All Light Duty Vehicles,483621195034
2022,2022,Interstate_Urban_VMT,Single Unit and Combination Trucks,70107558238
2022,2021,Interstate_Urban_VMT,Light Duty Vehicles Short Wheelbase,363954154277
2022,2021,Interstate_Urban_VMT,Motorcycles,1969925372
2022,2021,Interstate_Urban_VMT,Buses,2274918734
2022,2021,Interstate_Urban_VMT,Light Duty Vehicles Long Wheelbase,104795267724
2022,2021,Interstate_Urban_VMT,Single Unit Trucks,21428180444
2022,2021,Interstate_Urban_VMT,Combination Trucks,52051459549
2022,2021,Interstate_Urban_VMT,All Light Duty Vehicles,468749422000
2022,2021,Interstate_Urban_VMT,Single Unit and Combination Trucks,73479639993
2022,2022,Other_Urban_VMT,Light Duty Vehicles Short Wheelbase,1158710432502
2022,2022,Other_Urban_VMT,Motorcycles,14231931423
2022,2022,Other_Urban_VMT,Buses,9741466579
2022,2022,Other_Urban_VMT,Light Duty Vehicles Long Wheelbase,326458597591
2022,2022,Other_Urban_VMT,Single Unit Trucks,64927902893
2022,2022,Other_Urban_VMT,Combination Trucks,37216330201
2022,2022,Other_Urban_VMT,All Light Duty Vehicles,1485169030094
2022,2022,Other_Urban_VMT,Single Unit and Combination Trucks,102144233094
2022,2021,Other_Urban_VMT,Light Duty Vehicles Short Wheelbase,1148604952787
2022,2021,Other_Urban_VMT,Motorcycles,11495671387
2022,2021,Other_Urban_VMT,Buses,8723079259
2022,2021,Other_Urban_VMT,Light Duty Vehicles Long Wheelbase,331806487260
2022,2021,Other_Urban_VMT,Single Unit Trucks,61544454118
2022,2021,Other_Urban_VMT,Combination Trucks,39481892010
2022,2021,Other_Urban_VMT,All Light Duty Vehicles,1480411440048
2022,2021,Other_Urban_VMT,Single Unit and Combination Trucks,101026346127
2022,2022,All_Urban_VMT,Light Duty Vehicles Short Wheelbase,1537645873263
2022,2022,All_Urban_VMT,Motorcycles,17073549854
2022,2022,All_Urban_VMT,Buses,12365072385
2022,2022,All_Urban_VMT,Light Duty Vehicles Long Wheelbase,431144351865
2022,2022,All_Urban_VMT,Single Unit Trucks,85325212840
2022,2022,All_Urban_VMT,Combination Trucks,86926578492
2022,2022,All_Urban_VMT,All Light Duty Vehicles,1968790225128
2022,2022,All_Urban_VMT,Single Unit and Combination Trucks,172251791332
2022,2021,All_Urban_VMT,Light Duty Vehicles Short Wheelbase,1512559107064
2022,2021,All_Urban_VMT,Motorcycles,13465596759
2022,2021,All_Urban_VMT,Buses,10997997993
2022,2021,All_Urban_VMT,Light Duty Vehicles Long Wheelbase,436601754984
2022,2021,All_Urban_VMT,Single Unit Trucks,82972634562
2022,2021,All_Urban_VMT,Combination Trucks,91533351559
2022,2021,All_Urban_VMT,All Light Duty Vehicles,1949160862048
2022,2021,All_Urban_VMT,Single Unit and Combination Trucks,174505986120
2022,2022,Total_VMT,Light Duty Vehicles Short Wheelbase,2137805375824
2022,2022,Total_VMT,Motorcycles,23764862512
2022,2022,Total_VMT,Buses,18490164443
2022,2022,Total_VMT,Light Duty Vehicles Long Wheelbase,684858567643
2022,2022,Total_VMT,Single Unit Trucks,136223786866
2022,2022,Total_VMT,Combination Trucks,195048639383
2022,2022,Total_VMT,All Light Duty Vehicles,2822663943466
2022,2022,Total_VMT,Single Unit and Combination Trucks,331272426248
2022,2021,Total_VMT,Light Duty Vehicles Short Wheelbase,2083897554448
2022,2021,Total_VMT,Motorcycles,19641861056
2022,2021,Total_VMT,Buses,16744486774
2022,2021,Total_VMT,Light Duty Vehicles Long Wheelbase,685101264715
2022,2021,Total_VMT,Single Unit Trucks,131637174902
2022,2021,Total_VMT,Combination Trucks,195389157346
2022,2021,Total_VMT,All Light Duty Vehicles,2768998819163
2022,2021,Total_VMT,Single Unit and Combination Trucks,327026332248
2022,2022,No._Vehicles_Registered,Light Duty Vehicles Short Wheelbase,196467427
2022,2022,No._Vehicles_Registered,Motorcycles,9186256
2022,2022,No._Vehicles_Registered,Buses,958055
2022,2022,No._Vehicles_Registered,Light Duty Vehicles Long Wheelbase,61273790
2022,2022,No._Vehicles_Registered,Single Unit Trucks,11049522
2022,2022,No._Vehicles_Registered,Combination Trucks,3239716
2022,2022,No._Vehicles_Registered,All Light Duty Vehicles,257741217
2022,2022,No._Vehicles_Registered,Single Unit and Combination Trucks,14289238
2022,2021,No._Vehicles_Registered,Light Duty Vehicles Short Wheelbase,196611629
2022,2021,No._Vehicles_Registered,Motorcycles,9424769
2022,2021,No._Vehicles_Registered,Buses,943556
2022,2021,No._Vehicles_Registered,Light Duty Vehicles Long Wheelbase,60382963
2022,2021,No._Vehicles_Registered,Single Unit Trucks,10687394
2022,2021,No._Vehicles_Registered,Combination Trucks,3135181
2022,2021,No._Vehicles_Registered,All Light Duty Vehicles,256994592
2022,2021,No._Vehicles_Registered,Single Unit and Combination Trucks,13822575
2022,2022,Avg._Miles_per_Vehicle,Light Duty Vehicles Short Wheelbase,10881
2022,2022,Avg._Miles_per_Vehicle,Motorcycles,2587
2022,2022,Avg._Miles_per_Vehicle,Buses,19300
2022,2022,Avg._Miles_per_Vehicle,Light Duty Vehicles Long Wheelbase,11177
2022,2022,Avg._Miles_per_Vehicle,Single Unit Trucks,12328
2022,2022,Avg._Miles_per_Vehicle,Combination Trucks,60205
2022,2022,Avg._Miles_per_Vehicle,All Light Duty Vehicles,10952
2022,2022,Avg._Miles_per_Vehicle,Single Unit and Combination Trucks,23183
2022,2021,Avg._Miles_per_Vehicle,Light Duty Vehicles Short Wheelbase,10599
2022,2021,Avg._Miles_per_Vehicle,Motorcycles,2084
2022,2021,Avg._Miles_per_Vehicle,Buses,17746
2022,2021,Avg._Miles_per_Vehicle,Light Duty Vehicles Long Wheelbase,11346
2022,2021,Avg._Miles_per_Vehicle,Single Unit Trucks,12317
2022,2021,Avg._Miles_per_Vehicle,Combination Trucks,62321
2022,2021,Avg._Miles_per_Vehicle,All Light Duty Vehicles,10775
2022,2021,Avg._Miles_per_Vehicle,Single Unit and Combination Trucks,23659
2022,2022,Person-Miles,Light Duty Vehicles Short Wheelbase,3284668705927
2022,2022,Person-Miles,Motorcycles,24369327209
2022,2022,Person-Miles,Buses,391991486186
2022,2022,Person-Miles,Light Duty Vehicles Long Wheelbase,1007240093370
2022,2022,Person-Miles,Single Unit Trucks,136223786866
2022,2022,Person-Miles,Combination Trucks,195048639383
2022,2022,Person-Miles,All Light Duty Vehicles,4291908799297
2022,2022,Person-Miles,Single Unit and Combination Trucks,331272426248
2022,2021,Person-Miles,Light Duty Vehicles Short Wheelbase,3471196090521
2022,2021,Person-Miles,Motorcycles,23658621641
2022,2021,Person-Miles,Buses,354983119602
2022,2021,Person-Miles,Light Duty Vehicles Long Wheelbase,1168120152373
2022,2021,Person-Miles,Single Unit Trucks,131637174902
2022,2021,Person-Miles,Combination Trucks,195389157346
2022,2021,Person-Miles,All Light Duty Vehicles,4639316242894
2022,2021,Person-Miles,Single Unit and Combination Trucks,327026332248
2022,2022,Fuel_Consumed,Light Duty Vehicles Short Wheelbase,86040199188
2022,2022,Fuel_Consumed,Motorcycles,540571966
2022,2022,Fuel_Consumed,Buses,2497604755
2022,2022,Fuel_Consumed,Light Duty Vehicles Long Wheelbase,37939062886
2022,2022,Fuel_Consumed,Single Unit Trucks,17180849601
2022,2022,Fuel_Consumed,Combination Trucks,28218174604
2022,2022,Fuel_Consumed,All Light Duty Vehicles,123979262074
2022,2022,Fuel_Consumed,Single Unit and Combination Trucks,45399024205
